INFO 2024-08-11 09:25:50,540 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-11 09:25:50,542 autoreload Waiting for apps ready_event.
DEBUG 2024-08-11 09:25:51,386 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-08-11 09:25:51,460 autoreload Watching dir D:\documents\PythonProjects\Ecommerce\ThuVien3Goc\templates with glob **/*.
DEBUG 2024-08-11 09:25:51,460 autoreload Watching dir D:\documents\.venv\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-08-11 09:25:51,462 autoreload Watching dir D:\documents\PythonProjects\Ecommerce\ThuVien3Goc\locale with glob **/*.mo.
DEBUG 2024-08-11 09:25:51,463 autoreload Watching dir D:\documents\PythonProjects\Ecommerce\ThuVien3Goc\core\locale with glob **/*.mo.
DEBUG 2024-08-11 09:25:51,464 autoreload Watching dir D:\documents\PythonProjects\Ecommerce\ThuVien3Goc\cart\locale with glob **/*.mo.
DEBUG 2024-08-11 09:25:51,466 autoreload Watching dir D:\documents\PythonProjects\Ecommerce\ThuVien3Goc\catalog_media\locale with glob **/*.mo.
DEBUG 2024-08-11 09:25:51,466 autoreload Watching dir D:\documents\PythonProjects\Ecommerce\ThuVien3Goc\media_social\locale with glob **/*.mo.
DEBUG 2024-08-11 09:25:51,466 autoreload Watching dir D:\documents\PythonProjects\Ecommerce\ThuVien3Goc\order\locale with glob **/*.mo.
DEBUG 2024-08-11 09:25:51,467 autoreload Watching dir D:\documents\PythonProjects\Ecommerce\ThuVien3Goc\product\locale with glob **/*.mo.
DEBUG 2024-08-11 09:25:51,467 autoreload Watching dir D:\documents\PythonProjects\Ecommerce\ThuVien3Goc\shipment\locale with glob **/*.mo.
DEBUG 2024-08-11 09:25:51,468 autoreload Watching dir D:\documents\PythonProjects\Ecommerce\ThuVien3Goc\teacher_media\locale with glob **/*.mo.
DEBUG 2024-08-11 09:25:51,469 autoreload Watching dir D:\documents\PythonProjects\Ecommerce\ThuVien3Goc\user\locale with glob **/*.mo.
DEBUG 2024-08-11 09:25:51,469 autoreload Watching dir D:\documents\PythonProjects\Ecommerce\ThuVien3Goc\notification\locale with glob **/*.mo.
DEBUG 2024-08-11 09:25:51,471 autoreload Watching dir D:\documents\PythonProjects\Ecommerce\ThuVien3Goc\search\locale with glob **/*.mo.
DEBUG 2024-08-11 09:25:51,472 autoreload Watching dir D:\documents\.venv\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-08-11 09:25:51,790 autoreload File D:\documents\.venv\Lib\site-packages\django\http\__init__.py first seen with mtime 1722069295.1197848
DEBUG 2024-08-11 09:25:51,791 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python312\Lib\hashlib.py first seen with mtime 1707232218.0
DEBUG 2024-08-11 09:25:51,791 autoreload File D:\documents\PythonProjects\Ecommerce\ThuVien3Goc\catalog_media\__init__.py first seen with mtime 1719452620.34591
DEBUG 2024-08-11 09:25:51,792 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python312\Lib\asyncio\futures.py first seen with mtime 1707232218.0
DEBUG 2024-08-11 09:25:51,792 autoreload File D:\documents\.venv\Lib\site-packages\django\contrib\admin\helpers.py first seen with mtime 1722069291.943794
DEBUG 2024-08-11 09:25:51,792 autoreload File D:\documents\.venv\Lib\site-packages\charset_normalizer\constant.py first seen with mtime 1717723197.3123703
DEBUG 2024-08-11 09:25:51,793 autoreload File D:\documents\.venv\Lib\site-packages\django\core\handlers\asgi.py first seen with mtime 1722069294.8867137
DEBUG 2024-08-11 09:25:51,793 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python312\Lib\logging\handlers.py first seen with mtime 1707232218.0
DEBUG 2024-08-11 09:25:51,795 autoreload File D:\documents\.venv\Lib\site-packages\urllib3\poolmanager.py first seen with mtime 1717723186.9643636
